図番,品名,品名2,備考
718268,コネクターパイプ,6930KLB ｼﾞｮｲﾝﾄ(AL),
718333,コネクターパイプ,6930KLB ﾅｯﾄ,
718334,コネクターパイプ,6930 KLB ﾊﾟｯｷﾝ,
718354,コネクターパイプ,6930KLB ｳｹｻﾞ,
718369,コネクターパイプ,6930KLB ｳｹｻﾞ ｱｸﾘﾙｸﾘｱｰ,
718370,コネクターパイプ,6930KSB ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
718372,コネクターパイプ,6930KSB ﾊﾝﾄﾞﾙ,
718393,コネクターパイプ,6930KSB ｼﾞｮｲﾝﾄ,
718394,コネクターパイプ,6930KSB ｼﾞｮｲﾝﾄ(AL),
718414,コネクターパイプ,6930KSB ｳｹｻﾞ,
718415,コネクターパイプ,6930LB ﾊﾝﾄﾞﾙ,
718416,コネクターパイプ,6930 M22ﾅｯﾄ(SPCC),
718421,コネクターパイプ,6930SB ﾊﾝﾄﾞﾙ,
718443,コネクターパイプ,6930 SUS ｷｬｯﾌﾟ(ﾌﾟﾚｽ),
718459,コネクターパイプ,6930 ｳｹｻﾞ･ﾅｯﾄ,
718487,コネクターパイプ,EXTER GUARD,
718488,コネクターパイプ,ｻｲﾄﾞｷｬｯﾌﾟ A,
718500,コネクターパイプ,ｻｲﾄﾞｷｬｯﾌﾟ B,
718501,コネクターパイプ,ｳｴｶﾞﾗｽ  A,
718504,コネクターパイプ,ｳｴｶﾞﾗｽ  B,
718552,コネクターパイプ,ﾃﾏｴｻｯｼｭ L 廃却,
718559,コネクター,ﾃﾏｴｻｯｼｭ R 廃却,
718562,コネクターパイプ,ﾌﾛﾝﾄｺ-ﾅ-ｷｬｯﾌﾟ L,
720499,スペ－サ－ファン,ﾌﾛﾝﾄｺ-ﾅ-ｷｬｯﾌﾟ R,
720640,パッセ－ジＥＧＲ,ﾄﾋﾞﾗｺﾃｲｶﾅｸﾞ,
721103,アウトレットＷ,ﾄﾞｱ ｼｬﾌﾄ(ﾀﾞｲ)L 廃却,
721104,Ｈ・サーモスタット,ﾄﾞｱ ｼｬﾌﾄ(ﾀﾞｲ)R 廃却,
721105,アウトレットＷ,182 ｴﾝﾄﾞｷｬｯﾌﾟｼﾀR,
721112,スペーサ　バキューム,183 ｴﾝﾄﾞｷｬｯﾌﾟｼﾀL,
721130,Ｈ・サ－モスタット,031 ｷﾔｯﾌﾟ L,
721158,Ｈ・サ－モスタット,032 ｷﾔｯﾌﾟ R,
721169,アウトレットＷ,034 ｶﾞﾗｽｷｬｯﾌﾟ,
721170,アウトレットＷ,002-01 ﾋﾝｼﾞ,
721197,Ｈ・サ－モスタット,022 ｼﾞｮｲﾝﾄ A,
721198,Ｈ・サ－モスタット,027 ｼﾞｮｲﾝﾄ B,
721234,Ｈ・サーモスタット　　　　　　　　　　　＊＊,ｼﾞｮｲﾝﾄ C 廃却,
721243,Ｈ・サーモスタット　　　　　　　　　　　＊＊,ｼﾞｮｲﾝﾄ E L(030) 廃却,
721244,ブラケット　クランク　　　　　　　　　＊＊,ｼﾞｮｲﾝﾄ E R(031) 廃却,
721250,インシュレーターブラケット,ｼﾞｮｲﾝﾄ D L(032) 廃却,
721251,インシュレーターブラケット,ｼﾞｮｲﾝﾄ D R(033) 廃却,
721275,インシュレーターブラケット,ｼﾞｮｲﾝﾄ E L(047),
721278,ブラケットオイルポンプ　　　　　　＊＊,ｼﾞｮｲﾝﾄ E R(048),
721282,Ｈ・サーモスタット　　　　　　　　　　　＊＊,051 LｼﾞｮｲﾝﾄD ｶｯﾄﾋﾝ,
721284,ステーター,052 RｼﾞｮｲﾝﾄD ｶｯﾄﾋﾝ,
721289,インシュレーターブラケット,ｼﾞｮｲﾝﾄ E L(053),
721403,アウトレットＷ,ｼﾞｮｲﾝﾄ E R(054),
721404,Ｈ・サーモスタット,055ｼﾞｮｲﾝﾄB･ｶｯﾄ,
721405,アウトレットＷ,056ｼﾞｮｲﾝﾄB･ｶｯﾄ,
721430,Ｈ・サーモスタット,ｼﾞｮｲﾝﾄ ﾂｷﾞﾒｶﾊﾞ-L 廃却,
721432,ＢＫＴポンプステ－ジ,ｼﾞｮｲﾝﾄ ﾂｷﾞﾒｶﾊﾞ-R 廃却,
721458,Ｈ・サーモスタット,5FC ｼﾞｮｲﾝﾄ 廃却,
721469,アウトレットＷ,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄ ﾎｼﾞｮﾌﾟﾚｰﾄ SPC,
721470,アウトレットＷ,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄ ﾚﾊﾞｰ SK5 HRC48,
721497,Ｈ・サーモスタット,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄ ﾚﾊﾞｰSP 1.8TP,
721498,Ｈ・サーモスタット,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄSH 10P192L SUS,
721499,パッセ－ジＥＧＲ,ﾘﾌﾄｱｯﾌﾟﾎﾞﾙﾄ ｼｬﾌﾄSP 2.0TP,
721534,Ｈ・サーモスタット,ｽﾗｲﾄﾞﾊﾝﾄﾞﾙ D4JL-SK30,
721543,Ｈ・サ－モスタット,908185 ﾛｯｸﾊﾞｰ,
721544,ブラケット　クランク,908185 ﾛｯｸﾊﾞｰｳｹｶﾅｸﾞ,
721549,インシュレーターブラケット,A-1 ﾏｰｸｱﾘ,
721550,インシュレーターブラケット,A-1 ﾏｰｸﾅｼ,
721575,インシュレーターブラケット,A-2 ﾃｲﾀｲﾋﾝ,
721578,ブラケット　オイルポンプ,A-2 ﾏｰｸﾅｼ,
721582,Ｈ・サーモスタット,A-3-1,
721584,ステーター,A-3-1 ｸﾘｱ,
721702,Ｈ・サーモスタット,A-3-1 ﾏｰｸﾅｼ,
721704,Ｈ・サーモスタット,A-3-1 ﾆｯｹﾙ,
721707,Ｈ・サーモスタット,A-3-2,
721708,Ｈ・サーモスタット,A-3-2 ｸﾛﾊﾝﾂﾔ,
721709,アウトレットＷ,A-3-2 ﾏｰｸﾅｼ,
721710,アウトレットＷ,A-3-2 ﾆｯｹﾙﾒｯｷ,
721724,Ｈ・サーモスタット,A-4-1,
721730,Ｈ・サーモスタット,A-4-2,
721758,Ｈ・サーモスタット,A-4-3,
721769,アウトレットｗ,A-4-4,
721793,Ｈ・サーモスタット　　　　　　　　　　　＊＊,A-5-0,
721825,Ｈ・サーモスタット　　　　　　　　　　　＊＊,A-5-1,
721834,Ｈ・サ－モスタット,A-5-2,
721852,インシュレーターブラケット,A-5-2 ｸﾛﾊﾝﾂﾔ,
721853,アウトレットＷ,A-5-A-0 ﾄｯﾃ,
721854,Ｈ・サーモスタット,A-5-A-1 ﾄｯﾃ,
721889,インシュレーターブラケット　　　　　　＊＊,A-5-A-1 5Y7/1,
730138,スペーサーファン,A-5-A-1 ｸﾛ,
730139,スペーサーファン,A-5-A-1 ﾗｲﾄｱｰｼﾞｪﾝﾄｼﾙﾊﾞｰ,
730339,ギヤーボックス,A-5-A-2 ﾄｯﾃ,
730343,ブラケットポンプ,A-7,
731001,アルミホイルヨウキャップ,A-9-1 ﾊﾝﾄﾞﾙ,
731002,アルミホイルヨウキャップ,A-9-1 ﾎﾝﾀｲ,
731003,ホイルキャップ,A-9-2 ﾊﾝﾄﾞﾙ,
731004,ホイルキヤップ,A-9-2 ﾎﾝﾀｲ,
731005,アルミキャップ　ホワイト,A-9-3 ﾊﾝﾄﾞﾙ,
731006,ホイルキャップ,A-9-3 ﾎﾝﾀｲ,
731153,スペーサーファン,A-14 ﾊﾝﾄﾞﾙ,
731155,アウトレットＷ　　　　　　　　　　　　　＊＊,A-14 ﾎﾝﾀｲ,
731156,アウトレットＷ　　　　　　　　　　　　　＊＊,A-14 ﾛｰﾀｰ,
731164,スペーサーファン,A-14 ｳｹｻﾞ,
731166,スリーブロッド,A-16-1 ﾊﾝﾄﾞﾙ,
731176,Ｏ／Ｐカバー,A-16-1 ｳｹｻﾞ,
731179,ギヤーボックス　Ｌ,A-16-2 ﾊﾝﾄﾞﾙ,
731180,ギヤーボックス　Ｌ,A-16-2 ｳｹｻﾞ,
731181,Ｈ・サーモスタット,A-18-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
731184,Ｈ・サ－モスタット,A-18-1 ﾊﾝﾄﾞﾙ,
731190,ギヤーボックス,A-18-1 ｼﾞｮｲﾝﾄ(AL),
731191,ギヤーボックス　Ｌ,A-18-2 ﾊﾝﾄﾞﾙ,
731196,ＲＥＴオイルシ－ル,A-18 ｳｹｻﾞ,
731200,ギヤーボックス,A-19-1-1 ﾊﾝﾄﾞﾙ,
731202,ギヤーボックス,A-19-1-1 ﾊﾝﾄﾞﾙ 5Y,
731203,ギヤーボックス,A-19-1-2 ｱｸﾘﾙｸﾘｱ      構ﾅｼ,
731204,ギヤーボックス,A-19-1-2 ﾊﾝﾄﾞﾙ,
731208,ブラケットウイング,A-19-1 ﾃﾞｯﾄﾎﾞﾙﾄ 使用禁止,
731209,Ｈ・サ－モスタット,A-19-1 ｼﾞｮｲﾝﾄ(AL),
731213,Ｈ・サ－モスタット,A-19-1 ｳｹｻﾞ,
731215,ＲＥＴオイルシール,A-19-1 ｳｹｻﾞ 5Y,
731218,ギヤ－ボックス,A-19-2-1 ﾊﾝﾄﾞﾙ,
731219,ＲＥＴオイルシ－ル,A-19-2-2 ﾊﾝﾄﾞﾙ,
731223,ギヤ－ボックス,A-19-2 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
731224,９８Ｐ　ギヤ－ボックス　Ｌ,A-19-2 ｼﾞｮｲﾝﾄ(AL),
731227,ギヤ－ボックス,A-19-2 ｳｹｻﾞ,
731228,スリ－ブロッド,A-20-2 ﾊﾝﾄﾞﾙ,
731242,ブラケットポンプ,A-20-2 ｳｹｻﾞ,
731245,ギヤ－ボックス　Ｒ,A-20-3 ﾊﾝﾄﾞﾙ,
731246,ギヤ－ボックス　Ｌ,A-20-3 ｳｹｻﾞ,
731248,Ｈ・サーモスタット　　　　　　　　　　　＊＊,A-20-5 ﾊﾝﾄﾞﾙ,
731256,ＲＥＴオイルシール,A-20-5 ｳｹｻﾞ,
731261,ダクトＷ　　　　　　　　　　　　　　　＊＊,A-21-1 ﾊﾝﾄﾞﾙ,
731267,ギヤーボックス,A-21-1 ｳｹｻﾞ,
731286,ハウジング,A-21-2 ﾊﾝﾄﾞﾙ,
731293,ハウジング,A-21-2 ｳｹｻﾞ,
731430,アウトレットＷ,A-21-3 ﾊﾝﾄﾞﾙ,
731436,スペーサーファン,A-21-3 ｳｹｻﾞ,
731453,スペーサーファン,A-22 ﾊﾝﾄﾞﾙ,
731455,アウトレットＷ,A-22 ﾄｸﾁｭｳ ﾊﾝﾄﾞﾙ,
731456,アウトレットＷ,A-22 ﾄｸﾁｭｳ ｳｹｻﾞ,
731464,スペーサーファン,A-22 ｳｹｻﾞ,
731481,Ｈ・サーモスタット,A-23-1 ﾊﾝﾄﾞﾙ,
731484,Ｈ・サ－モスタット,A-23-1 ｳｹｻﾞ,
731501,スペ－サ－ファン,A-23-2 ﾊﾝﾄﾞﾙ,
731509,Ｈ・サーモスタット,A-23-2 ｳｹｻﾞ,
731513,Ｈ・サーモスタット,A-26-1 ﾊﾝﾄﾞﾙ,
731515,ＲＥＴオイルシール,A-26-1 ｳｹｻﾞ,
731561,ダクトＷ,A-26-2 ﾊﾝﾄﾞﾙ,
731562,ダクトＷ,A-26-2 ｳｹｻﾞ,
731563,スペーサーファン,A-26-3 ﾊﾝﾄﾞﾙ,
731564,スペーサーファン,A-26-3 ｳｹｻﾞ,
731910,スペーサーファン,A-27-2 ﾊﾝﾄﾞﾙ 廃却,
751147,ハウジング,A-27-2 ｳｹｻﾞ 廃却,
751181,モーターフレーム,A-27-4 ﾊﾝﾄﾞﾙ 廃却,
751218,Ｍ／Ｃ（Ａ）　ベース,A-27-4 ｳｹｻﾞ 廃却,
751219,Ｍ／Ｃ（ＢＣ）　ベース,A-27-5,
751518,Ｍ／Ｃ（Ａ）　ベース,A-27-5 ﾊﾝﾄﾞﾙ 廃却,
751519,Ｍ／Ｃ（ＢＣ）　ベース,A-27-5 ｳｹｻﾞ 廃却,
761253,Ｂ・ステアリング,A-29-1-1,
761272,ギヤケースＡ　ＴＰ１３００３０７６０３Ｋ,A-29-1-1 ﾊﾝﾄﾞﾙ 廃却,
761273,ギヤケースＡ　ＴＰ１３００３０７６０３Ｋ,A-29-1-2,
761275,ギヤケースＢ,A-29-1-2 ﾊﾝﾄﾞﾙ 廃却,
761312,ギヤケースＡ,A-29-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
761319,ギヤケースＡ,A-29-1 ｼﾞｮｲﾝﾄ(AL),
761320,ギヤケース　Ｂ,A-29-1 ｳｹｻﾞ 廃却,
761321,ギヤケースＡ,A-29-2-1,
761322,ギヤケースＢ,A-29-2-1 ﾊﾝﾄﾞﾙ,
761323,ギヤケースＢ　ＴＰ１３１０３１０２＋ＢＫ,A-29-2-2,
761572,ギヤケース,A-29-2-2 ﾊﾝﾄﾞﾙ,
761573,ギヤケース,A-29-2 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
761574,ギヤケースＡ,A-29-2 ｼﾞｮｲﾝﾄ(AL),
761575,ギヤケースＢ,A-29-2 ｳｹｻﾞ,
761623,ギヤケースＢ,A-32-1ﾃﾞｯﾄﾎﾞﾙﾄBSBM使用禁止,
761627,ＬＥＧ　ＢＲＫＴ　ＲＨ,A-32-1 ﾊﾝﾄﾞﾙ,
761628,ＬＥＧ　ＢＲＫＴ　ＬＨ,A-32-1 ｼﾞｮｲﾝﾄ(AL),
770019,スペ－サ－ファン　　　　　　　　　　　＊＊,A-32-2 ﾊﾝﾄﾞﾙ,
770459,Ｈ・サーモスタット,A-32   ｳｹｻﾞ,
770483,Ｈ・サーモスタット　　　　　　　　　　　＊＊,A-33-1 ﾃｲﾀｲﾋﾝ,
770761,アウトレットＷ,A-33-1-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
770783,アウトレットＷ　　　　　　　　　　　　　＊＊,A-33-1-1(ｼﾝ)ﾌﾀ,
791813,チョウセイダイ,A-33-1-1(ｼﾝ)ﾊﾝﾄﾞﾙ,
791901,トメカナグ,A-33-1-1 ｼﾞｮｲﾝﾄ(AL),
791910,チョウセイダイ,A-33-1-2(ｼﾝ)ﾊﾝﾄﾞﾙ,
802662,Ｃ－３７５Ｍ　＃５３５３５６０　Ｗ／０,A-33-1 ﾊﾝﾄﾞﾙ 廃却,
804892,Ｃ－３７５Ｈ　＃Ｅ０１２０１２　Ｗ／３,A-33-1 ｳｹｻﾞ 廃却,
806224,支給　Ｃ－５８　センターラッチのみ,A-33-1 ｳｹｻﾞ(ｼﾝ),
806226,支給　Ｃ－５８　上部ラッチのみ,A-33-2 ﾃｲﾀｲﾋﾝ,
812489,支給　Ｃ－２８６－２用止金,A-33-2-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
813662,支給　Ｃ－３７５Ｈ　＃Ｅ０１２０１２　Ｗ／３,A-33-2-1(ｼﾝ)ﾊﾝﾄﾞﾙ,
814769,＃１００１－４－０　片抜ローター　Ｗ／２,A-33-2-1 ｼﾞｮｲﾝﾄ(AL),
816045,支給　＃０２００－４　ＳＵＳローター,A-33-2-2(ｼﾝ)ﾊﾝﾄﾞﾙ,
818354,支給Ｃ－３７５－Ａ　ＴＡＫ８０用ローターケース,A-33-2 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
826265,Ｔローター　＃Ｙ３００１－９４５２　２４種　Ｗ／２,A-33-2 ﾊﾝﾄﾞﾙ 使用禁止,
826547,支給　５０１Ｈ－４－０　シャッターなし,A-33-2 ｳｹｻﾞ,
826780,ＦＡ－８２０－Ｃ－２Ｌ用　封印金具付カマ,A-33-2 ｳｹｻﾞ(ｼﾝ),
827148,支給　ＡＣ－２５－Ｑ－１４Ｌ　クロ,A-33-3,
829102,支給　＃２００－４Ｓ　Ｍ４タップ付,A-33-3-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
831295,支給　Ｃ－２８６－１用特注止め金,A-33-3-1(ｼﾝ)ﾊﾝﾄﾞﾙ,
831492,メイバン　Ｅ３－２０００,A-33-3-1 ｼﾞｮｲﾝﾄ(AL),
832162,パイロットバルブ　（４０．５０）,A-33-3-2(ｼﾝ)ﾊﾝﾄﾞﾙ,
832163,パイロットバルブ　（８０）,A-33-3 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
833246,キーユニット　４５°錠前組込,A-33-3 ﾊﾝﾄﾞﾙ,
834252,ＬＥ－１５０　追工マイクロ付（８１６－１Ｂヨウ,A-33-3 ｳｹｻﾞ,
835286,支給　Ｃ－３０－ＣＳ－４　ＥＰ－ＵＬアイボリー,A-33-3 ｳｹｻﾞ(ｼﾝ),
839557,支給　ＴＡＫ４０ロックユニット　Ｗ／２,A-33-4 ﾊﾝﾄﾞﾙ,
839688,プレートＣＭＰ－ＨＡ　Ａ－８８５－Ｙ用金具,A-33-4 ﾊﾝﾄﾞﾙ N7,
840040,支給　＃９５００－４－２　Ｗ／２,A-33-4 N7,
840748,Ａ－１４０－１－１　ＴＡＫ８０　ロ－タ－ナシ,A-33-4 ｳｹｻﾞ,
841593,Ｍ２００　Ｗ／１　黒ＣＰ付　＃ＦＪ４０１－５００,A-33-4 ｳｹｻﾞ N7,
843343,支給　＃０２００－５　ＭＩＭローター　Ｗ／２,A-33-5 ﾊﾝﾄﾞﾙ,
845860,＃Ｒ２００－２－１．５　ローターＷ／２,A-33-5 ｳｹｻﾞ,
846694,Ｔローター　＃ＴＫ０２０　Ｗ／０,A-33-6 ﾊﾝﾄﾞﾙ,
847782,ＴＡＫ８０Ｈ－４－２Ｂ（ＴＡＫ０８Ａ）Ｗ／０,A-33-6 ﾊﾝﾄﾞﾙ T1,
848596,支給　ＴＡＫ７０００－４　Ｗ／０　ＭＮＲ－Ｐ０１,A-33-6 ｳｹｻﾞ,
848597,ＴＡＫ７０００－４－２　Ｗ／０　＃ＭＮＲ－Ｐ０１,A-33-6 ｳｹｻﾞ T1,
849875,Ｃ－１７８－Ｔ片抜け　＃ＳＡＮ００１　Ｗ／２,A-33-7 ﾊﾝﾄﾞﾙ,
850240,Ａ－１４０－１－１　クリア　ＴＡＫ８０ローターナシ,A-33-7 ﾅｯﾄ,
850242,Ａ－１４０－２－１　クリア　ＴＡＫ８０　ローターナシ,A-33-7 ｳｹｻﾞ,
850243,Ａ－１４０－３－１　５Ｙ７／１　ＴＡＫ８０　Ｒナシ,A-36 ﾊﾝﾄﾞﾙ,
850244,Ａ－１４０－３－１メッキクリア　ＴＡＫ８０　Ｒナシ,A-36 ｳｹｻﾞ,
850245,支給Ａ－１４０－Ｈ２－１　５Ｙ　Ｔ８Ｒナシ,A-42-A-15,
850246,支給　Ａ－１４０－Ｈ－２－１ＴＡＫ８０　ＲＯナシ,A-42-A-15 ｸﾛ,
850249,支給Ａ－１４０Ｎ－３－１シルバーＴ８Ｒナシ,A-42-A-15 ｸﾛ ﾂﾔｹｼ,
850250,支給　Ａ－１４０－Ｗ－１ＴＡＫ８０　ローターナシ,A-42-A-15 ｻﾁﾗｲﾄｸﾛﾑ,
850252,支給　Ａ－１４０－Ｗ－２　ＴＡＫ８０ローターナシ,A-42-A-15 ｲﾛﾁｶﾞｲ,
850255,Ａ－２３０－１　ＴＡＫ８０ロ－タ－ナシ　ＲＯＨＳ,A-42-A-1,
850256,Ａ－２３０－２　ＴＡＫ８０　ロ－タ－ナシ　ＲＯＨＳ,A-42-A-1 ｸﾛ,
850265,Ａ－４６５－Ｆ－１　ＴＡＫ８０ロ－タ－ナシ　ＲＯＨＳ,A-42-A-2,
850266,Ａ－４６５－Ｆ－２　ＴＡＫ８０ロ－タ－ナシ　ＲＯＨＳ,A-42-A-2 ｸﾛ,
850267,Ａ－４６５－Ｆ－３ＴＡＫ８０　ローターナシ,A-0042-A-3T1,
850270,支給　Ａ－４８１－Ｆ－６　ＴＡＫ８０ローターナシ,A-42-A-3,
850275,支給　Ｃ－４４０－０　５ＹＲ２／１．５Ｔ８Ｒナシ,A-42-A-3 ｸﾛ,
857609,Ｔローター　＃ＫＵ－１００　Ｗ／２　（刻有）,A-42-A-4,
868377,＃２００－５－ＭＩＭローター　シャッターナシ,A-42-A-4 ｸﾛ,
868443,ＬＥ－１５０Ｎ－２４Ｖ－Ｔ－１（ＬＥ－８１０Ｃ４ヨウ,A-42-A-5,
870456,Ｔローター　Ｗ／２　鍵違い　ローター刻付,A-42-A-5 ｸﾛ,
872347,支給　＃ＨＡＭＡ０５　Ｗ／０　刻印有,A-42-A-6,
872675,Ｃ－３７５－Ｄ　違い＃＊＊＊＊Ｄ　Ｗ／３,A-42-A-6 ｸﾛ,
874555,＃ＴＡＫ７７１６－４－０　Ｗ／０　刻無,A-42-A-7,
874561,支給　Ｃ－３７５－Ａ用　ジョイント　ＲＯＨＳ,A-42-A-7 ｸﾛ,
875229,支給　ＴＡＭ７０－４－０　Ｗ／０　刻印ＴＡＭ,A-42-B-4,
875354,Ｃ－３７５－Ｄ　＃ＳＤ０００１　Ｗ／３,A-42-B-5,
876163,Ｃ－３７５－Ｄ　＃ＲＳＥ＊＊＊　Ｗ／３,A-42-B-6,
877898,＃５００－２－４　ローター　Ｗ／２　ガイドナシ,A-42-B-7,
879118,支給　Ａ－５４７支給用Ｃリング,A-42-C-4,
879817,Ｃ－３７５－ＳＪ－ＺＤＣ（ＴＲ－４１／Ｃ－４９０）,A-42-C-5,
879865,銘板シール　あき－使用中　青赤,A-42-C-6,
879866,銘板シール　文字無　オレンジ水色,A-42-C-7,
880130,ＴＡＫ７０００－４－０　＃ＨＩＢＩＹＡ　Ｗ／０,A-42-J-1,
880491,ＴＡＫ７０Ｍ－４　置換　＃ＫＢＣ＊＊＊　Ｗ／０,A-42-J-15,
880492,ＴＡＫ７０Ｍ－４－２　置換＃ＫＢＣ＊＊＊　Ｗ／０,A-42-J-15 ﾆｯｹﾙ        構ﾅｼ,
881369,支給　ＬＥ－８３０－ＲＣ－ＭＮマニュアルリモコン,A-42-J-2,
882266,ＴＡＫ７０００－４－０　＃ＫＢＢ－＊＊＊　Ｗ／４,A-42-J-3,
882267,ＴＡＫ７０００－４－０　Ｗ／０　＃ＫＢＢ－＊＊＊,A-42-J-4,
882290,支給　Ｃ－４０用デッドボルト,A-42-J-4 ﾆｯｹﾙ,
882640,支給　Ａ－３７５用赤ディップアウターＨＡ,A-42-J-5,
883295,ＦＲＴ－Ｅ９－４００Ｇ２（Ｃ－９９０ヨウ）,A-42-J-5 ﾆｯｹﾙ,
883371,Ｃ－３７５－ＥＳＪ－ＺＤＣ－ＴＲ４１,A-42-J-6,
883377,Ｃ－３７５－Ｄ　＃ＳＤ０００２　Ｗ／３,A-42-J-7,
883561,支給　ＴＲ－２　ロストワックスハブ,A-42-J-7 ﾆｯｹﾙ,
883681,Ｃ－３７５鍵違い　＃１００１１Ｇ　Ｗ／２,A-42-W1,
883776,＃２００－５ＡＧ　＃４００　Ｗ／２（８９８７１）,A-42-W12,
883952,＃ＴＡＫ７１００－４－０　Ｗ／０　ローター刻無,A-42-W13,
902328,リフトアップボルト,A-42-W14,
903974,ＦＡ－６０３　＃２００　バネ径１．８組替,A-43-1,
907650,支給　ＦＡ－８１５Ｎ－１Ｃ　Ｆ・Ｋナシ,A-45-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
1000345,Ｔローターショート３Ｓ－４　＃Ｔ＊＊＊＊　Ｗ／２,A-45-1 ﾊﾝﾄﾞﾙ,
1001030,＃ＴＡＫ７４２８－４Ｓ－０　Ｗ／２　刻無,A-45-1 ｼﾞｮｲﾝﾄ(AL),
1001722,ＴＡＫ７００－３－２＃ＴＡＫＥＴ＊＊　Ｗ２,A-45-2 ﾊﾝﾄﾞﾙ,
1001880,＃ＭＦＴＧ００１－４Ｓ－３．５　Ｗ／０　刻無,A-45 ｳｹｻﾞ,
1002102,Ｔ７Ｓ　＃ＨＡＲＥＺＡＢ－４－０　Ｗ／０　刻無,A-51-1-1 ﾊﾝﾄﾞﾙ,
1003225,Ｃ－３７５－Ｄ　＃ＳＤ００＊＊　Ｗ／６,A-51-1-2 ﾊﾝﾄﾞﾙ,
1003945,Ｃ－３７５－Ｄ　＃ＳＤ００＊＊,A-51-1 ﾃﾞｯﾄﾎﾞﾙﾄ(BSBM),
1004844,Ｃ－３７５－Ｖ　＃Ｖ３２０１７　Ｗ／３,A-51-1 ｼﾞｮｲﾝﾄ(AL),
1004960,支給　Ａ－３８８Ｎヨウブヒン,A-51-1 ﾅｯﾄ,
1005395,ＴＡＫ７０－４－３．５　＃ＴＡＫ７＊＊＊　Ｗ／２,A-51-1 ｳｹｻﾞ,
1005584,ＴＡＫ７０００－４－０　＃ＭＮＲ－Ｐ０２　Ｗ／０,A-51-2-1 ﾊﾝﾄﾞﾙ,
1005765,ＴＡＫ７０００－４Ｓ－０　＃ＫＦＯ　Ｗ／０,A-51-2-1S,
1005766,ＴＡＫ７０００－４Ｓ－０　＃ＫＦＯＪ　Ｗ／０,A-51-2-1S ﾊﾝﾄﾞﾙ 廃却,
1005767,ＴＡＫ７０００－４Ｓ－０　＃ＣＳＪＡＦＯＪ　Ｗ／０,A-51-2-2 ﾊﾝﾄﾞﾙ,
1005768,ＴＡＫ７０００－４Ｓ－０　＃ＣＳ　ＡＦＯ　Ｗ／０,A-51-2-2S,
1006013,Ａ－４５８－Ｒ　ＴＡＫ８０　ロ－タ－ナシ　ＲＯＨＳ,A-51-2-2S ﾊﾝﾄﾞﾙ 廃却,
1006014,Ａ－４５８－Ｌ　ＴＡＫ８０　ロ－タ－ナシ　ＲＯＨＳ,A-51-2 ﾃﾞｯﾄﾎﾞﾙﾄ 使用禁止,
1006079,＃ＨＡＲＥＺＡＡ－４Ｓ－３．５　Ｗ／０　刻無,A-51-2 ｼﾞｮｲﾝﾄ(AL),
1007011,支給　ＴＲ－４１－ＳＪ－Ｌ　ＪＲＣ向　ＩＧ付,A-51-2S ﾅｯﾄ 廃却,
1007210,支給　＃５０１Ｈ－４－２　ローター　Ｗ／２,A-51-2S ｳｹｻﾞ 廃却,
1007545,＃９５００－４Ｓ－３．５　Ｗ／２　刻・Ｓ付,A-51-2 ｳｹｻﾞ,
1007917,Ｃ８３６－１　部５点ナシ＃ＴＡＶ＊＊＊＊　Ｗ／２,A-55-1 ﾃﾞｯﾄﾎﾞﾙﾄ,
1008103,Ａ－１５１Ｒ－１　アイチコーポレーション　ラッチ,A-55-1 ｷｰ(#100),
1008104,Ａ－１５１Ｒ－１　アイチムケ　プレート,A-55-1 ﾛ-ﾀ-,
1008105,Ａ－１５１Ｒ－１　アイチ向プレ－ト用ガイド,A-55-1 ｼｬﾌﾄ A,
1011521,支給　＃５０２－４－３．５　Ｗ／０,A-55-2 ｼｬﾌﾄ B,
1012389,支給　Ｔローター　＃ＫＴＲＴＭ　Ｗ／２,A-55 ﾊﾝﾄﾞﾙ,
1012924,支給ＡＰ－８６７用ＲＯユニットＷ／０＃５０８０,A-55 ﾎﾝﾀｲ,
1013933,支給　Ｔローター＃ＴカギチガイローターＷ／２,A-55 ﾎﾝﾀｲCR使用禁止,
1014490,支給　ＭＩＷＡ　ＰＲＤＺＣＹＤｔ４１ＳＴ　Ｗ／３,A-55 ﾄｸﾁｭｳ,
